100,Agent,100,Active,Cyberia Smart Homes,100,4,Fully Furnished,3,2,[Car Park~Gym],[Air Conditioning],400,Persiaran Multimedia,Cyberjaya,Selangor,Townhouse Condominium,@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg
101,Agent,101,Active,Cyberia Crescent 1,300,1.27,Fully Furnished,5,5,[Car Park~Gym],[Air Conditioning],380,Jalan Fauna 1 OFF Persiaran Multimedia,Cyberjaya,Selangor,Townhouse,@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg
102,Agent,102,Active,Cyberia SmartHomes,1049,1.14,Partially Furnished,3,2,[Car Park~Gym],[Air Conditioning~Fridge],1200,Persiaran Multimedia,Cyberjaya,Selangor,Condominium,@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg
103,Agent,103,Active,Cyberia SmartHomes,1010,0.89,Unfurnised,3,2,[Car Park~Gym~24 Hours Security],[Air Conditioning~Water Heater],900,Persiaran Multimedia,Cyberjaya,Selangor,Condominium,@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg
104,Agent,104,Active,Cyberia SmartHomes,1100,1,Fully Furnished,3,2,[Car Park~Gym],[Air Conditioning~Water Heater~Fridge],1100,Persiaran Multimedia,Cyberjaya,Selangor,Condominium,@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg
105,Agent,105,Active,Cyberia Crescent 2,1050,1.38,Fully Furnished,3,2,[Car Park~Gym],[Air Conditioning~Water Heater~Fridge],1450,Jalan Fauna 1 OFF Persiaran Multimedia,Cyberjaya,Selangor,Condominium,@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg
106,Agent,106,Active,Cyberia Crescent 1,500,0.9,Fully Furnished,5,4,[Car Park~Gym],[Air Conditioning~Water Heater~Fridge],450,Jalan Fauna 1 OFF Persiaran Multimedia,Cyberjaya,Selangor,Duplex,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
107,Agent,107,Active,Cyberia Crescent 1,120,3.17,Fully Furnished,5,4,[Car Park~Gym~Swimming Pool~24 Hours Security],[Air Conditioning~Fridge],380,Jalan Fauna 1 OFF Persiaran Multimedia,Cyberjaya,Selangor,Townhouse Condominium,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
108,Agent,108,Active,SummerGlades,3000,1.1,Fully Furnished,5,5,[24 Hours Security],[Air Conditioning~Fridge~TV~Washing Machine~Water Heater],3300,"27 Jalan Sri Tasik Timur 8, Perdana Lakeview West",Cyberjaya,Selangor,Terraced House,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
109,Agent,108,Active,SummerGlades,3000,1.07,Partially Furnished,5,5,[24 Hours Security],[Air Conditioning~Water Heater],3200,"28 Jalan Sri Tasik Timur 8, Perdana Lakeview West",Cyberjaya,Selangor,Terraced House,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
110,Agent,108,Active,SummerGlades,3000,0.9,Partially Furnished,5,5,[24 Hours Security],[Air Conditioning~Fridge~TV~Washing Machine~Water Heater],2700,"29 Jalan Sri Tasik Timur 8, Perdana Lakeview West",Cyberjaya,Selangor,Terraced House,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
111,Agent,109,Active,The Arc,912,0.99,Fully Furnished,3,2,[Badminton Court~24 Hours Security~Swimming Pool],[Washing Machine~Fridge],900,Persiaran Bestari,Cyberjaya,Selangor,Service Residence,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
112,Agent,109,Active,The Arc,913,0.99,Fully Furnished,3,2,[Badminton Court~24 Hours Security~Swimming Pool],[Washing Machine~Fridge],900,Persiaran Bestar,Cyberjaya,Selangor,Service Residence,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
113,Agent,108,Active,The Arc,1021,1.18,Fully Furnished,3,2,[Badminton Court~24 Hours Security~Swimming Pool],[Air Conditioning~Fridge~TV~Washing Machine~Water Heater],1200,Persiaran Bestari,Cyberjaya,Selangor,Service Residence,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
114,Agent,108,Active,The Arc,913,1.42,Fully Furnished,3,2,[Badminton Court~24 Hours Security~Swimming Pool],[Air Conditioning~Fridge~TV~Washing Machine~Water Heater],1300,Persiaran Bestari,Cyberjaya,Selangor,Service Residence,[@images/StoredImages/Web capture_26-10-2021_151215_nkbihfbeogaeaoehlefnkodbefgpgknn.jpeg]
